repo_owner,repo_project,log_files,log_watch,size_bubble,primary_language,language_entropy
nlf,dlite,6.249975242259483,7.67275789664251,67.4,Go,0.0
brettwooldridge,HikariCP,4.48863636973214,6.450470422144176,67.1,Java,0.0806801066894392
godotengine,godot,8.651199471263972,7.029972911706386,83.5,C++,0.5956119968529627
skimarxall,RxFlux,4.290459441148391,5.1298987149230735,56.8,Java,0.0
lyft,scoop,5.267858159063328,5.19295685089021,71.5,Java,0.0306843696874037
caolan,async,5.176149732573829,7.785720896534624,54.4,JavaScript,0.2090051400230764
konifar,droidkaigi2016,5.497168225293202,6.375024819828097,65.3,Java,0.0160487585930938
snowplow,snowplow,6.726233402358747,5.82600010738045,98.4,Scala,1.5039646850743325
gowong,material-sheet-fab,4.543294782270004,5.303304908059076,47.8,Java,0.0
slazyk,Observable-Swift,3.1780538303479458,5.545177444479562,39.0,Swift,0.0714172676027931
williamngan,pt,5.659482215759621,5.153291594497779,80.7,CoffeeScript,0.8577193124982792
shockone,black-screen,4.584967478670572,8.329103028159418,72.0,TypeScript,0.1642241373957594
rasmusth,BluetoothKit,5.262690188904886,5.19295685089021,63.5,Swift,0.0914282561701537
bestmomo,laravel5-example,6.406879986069314,5.575949103146316,72.6,JavaScript,1.4131170991647537
vczero,react-native-lesson,4.2626798770413155,6.939253946041508,67.4,HTML,0.5054202041734471
edravis,logatim,2.9444389791664403,5.332718793265369,45.1,JavaScript,0.0
Grouper,FlatUIKit,4.653960350157523,6.326149473155099,67.0,Objective-C,0.059221573040344
tymondesigns,jwt-auth,4.700480365792417,6.74993119378857,59.4,PHP,0.0
overtake,telegram,7.88193748927207,5.472270673671475,85.0,Objective-C,0.3485580061021783
power-assert-js,power-assert,2.995732273553991,5.598421958998375,79.5,JavaScript,0.0036398910858051
grpc,grpc,8.808581387699085,7.19668657083435,85.0,C++,1.3358716782718487
ansman,validate.js,3.9512437185814275,5.298317366548036,66.7,JavaScript,0.6887626084384452
GetmeUK,ContentTools,5.247024072160486,6.163314804034641,66.0,JavaScript,1.061720508834144
poolqf,FillableLoaders,3.367295829986474,5.723585101952381,83.1,Swift,0.1529596301378043
slackhq,node-slack-client,4.653960350157523,5.755742213586912,47.5,JavaScript,0.0
hashicorp,best-practices,4.442651256490317,5.3706380281276624,52.8,HCL,0.7938459837040021
awentzonline,image-analogies,3.912023005428146,7.822444729489319,55.8,Python,0.0
mybatis,mybatis-3,7.3395376954076745,6.8001700683022,76.8,Java,0.0426898730384743
xiaofei86,UIKitDynamics,4.143134726391533,5.476463551931511,74.0,Objective-C,0.0
pandao,editor.md,6.251903883165888,6.507277712385012,60.0,JavaScript,0.7246156554053172
sophron,wifiphisher,3.8066624897703196,5.768320995793772,57.7,Python,0.7611697057565561
Apipie,apipie-rails,4.997212273764115,5.19295685089021,62.0,Ruby,0.3306406073717052
PHPMailer,PHPMailer,4.859812404361672,7.166265974133638,39.9,PHP,0.0372251641043773
wasabeef,glide-transformations,4.07753744390572,6.47543271670409,53.0,Java,0.3259824892570645
plotly,plotly.py,5.081404364984463,6.437751649736401,55.2,Python,0.1051177710791398
hilen,TSWeChat,6.714170529909472,7.018401799069201,91.4,Swift,0.1423228182472081
ybogdanov,history-timeline,3.6635616461296463,5.318119993844216,82.1,JavaScript,0.0409744728882828
Uncodin,bypass,4.976733742420574,5.111987788356544,73.6,C,1.4753633755930171
ShareX,ShareX,7.636752112435779,6.597145701886651,86.1,C#,0.0509736615952379
sergeche,emmet-sublime,3.5263605246161616,5.929589143389895,40.3,JavaScript,0.5440972951066045
riemann,riemann,5.0238805208462765,5.332718793265369,56.2,Clojure,0.1424988514834482
octokit,octokit.rb,6.39024066706535,5.247024072160486,85.0,Ruby,0.0311144103736252
Microsoft,TypeScript-Sublime-Plugin,4.770684624465665,5.225746673713202,92.5,JavaScript,0.0277397975573031
lukehaas,css-loaders,3.5553480614894135,6.037870919922137,36.3,CSS,0.107004498883688
Homebrew,homebrew,8.315566483564277,7.745002803515839,70.4,Ruby,0.1115835424876886
kristopolous,BOOTSTRA.386,6.957497370876951,5.420534999272286,75.3,HTML,1.330897815361431
SimonFairbairn,SwiftyMarkdown,3.367295829986474,6.3784261836515865,32.8,Swift,0.0418497565448396
remind101,empire,7.315218389752975,5.69035945432406,83.9,Go,0.1118825569695812
linkedin,databus,6.910750787961936,5.2832037287379885,83.1,Java,0.0584978393525039
ehazlett,interlock,6.278521424165844,5.5134287461649825,63.1,Go,0.05456201829755
devxoul,URLNavigator,2.9444389791664403,6.586171654854675,57.3,Swift,0.0609997480984074
andrewngu,sound-redux,5.049856007249537,6.6895992691789665,57.2,JavaScript,0.6900369305725585
oddbird,susy,5.0238805208462765,5.840641657373398,57.6,SCSS,0.758314595734669
passy,build-time-tracker-plugin,3.6635616461296463,6.144185634125646,51.5,Groovy,0.0468251307633765
atomicobject,objection,6.035481432524756,5.075173815233827,57.8,Objective-C,0.217327133028726
zurb,foundation-sites,5.976350909297934,7.498315870766981,68.7,HTML,0.9582004563410356
gcuisinier,jenv,4.330733340286331,5.293304824724492,50.6,Shell,0.0
ColinEberhardt,VCTransitionsLibrary,5.0689042022202315,6.210600077024653,80.5,Objective-C,0.042983831906469
ncrocfer,whatportis,2.70805020110221,6.3473892096560105,26.1,Python,0.0
yxping,AdhesiveLoadingView,3.8918202981106265,5.860786223465865,48.9,Java,0.0
rakyll,gom,3.367295829986474,6.7357800142423265,47.7,Go,0.0
kishikawakatsumi,KeychainAccess,3.912023005428146,6.345636360828596,52.6,Swift,0.2195815261094408
timekit-io,booking-js,4.143134726391533,5.602118820879701,54.5,JavaScript,0.8534350088103355
paypal,react-engine,3.784189633918261,5.318119993844216,49.0,JavaScript,0.0
treasure-data,redux-search,3.828641396489095,5.262690188904886,46.5,JavaScript,0.3106247486837172
request,request,4.7535901911063645,7.5883236773352225,59.7,JavaScript,0.0548385694489878
GitbookIO,gitbook,5.755742213586912,7.377133712833954,61.5,JavaScript,0.0
cSploit,android,6.163314804034641,5.3981627015177525,71.4,Java,0.0252861526480252
rmtheis,android-ocr,4.248495242049359,5.2574953720277815,60.3,Java,0.119957249447912
visualfc,goqt,4.532599493153256,6.654152520183219,51.6,Go,0.5347563463150868
robbdimitrov,RDVTabBarController,3.9889840465642745,5.8805329864007,48.0,Objective-C,0.0716284959792549
ghiden,angucomplete-alt,3.6635616461296463,5.1298987149230735,59.9,JavaScript,0.9139030569767544
wooorm,alex,3.295836866004329,6.352629396319567,42.7,JavaScript,0.0
google,grr,7.38770923908104,5.802118375377063,90.5,Python,0.8217989194631643
markfinger,python-react,4.31748811353631,5.407171771460119,34.5,Python,0.4440041280041893
svg,svgo,5.375278407684165,6.90975328164481,57.7,JavaScript,0.1117466068505952
dcos,dcos,5.8916442118257715,6.1675164908883415,65.3,Python,0.8099499963382643
remixz,messenger-bot,3.044522437723423,6.169610732491456,44.1,JavaScript,0.0
rasbt,pattern_classification,5.777652323222656,5.765191102784844,100.0,Jupyter Notebook,0.1953045871614239
holman,dotfiles,4.276666119016055,6.075346031088684,41.7,Shell,0.8298450680297131
ipraba,EPShapes,4.477336814478207,5.733341276897746,40.0,Swift,0.8619089765044231
Valloric,YouCompleteMe,4.418840607796598,7.469083884921234,59.8,Python,0.3180248460785013
philc,vimium,4.584967478670572,6.9167150203536085,63.2,JavaScript,0.4854912948311654
expressjs,body-parser,3.091042453358316,5.726847747587197,59.9,JavaScript,0.0
anishathalye,neural-style,2.70805020110221,5.981414211254481,56.4,Python,0.0
resin-io,etcher,4.990432586778736,6.354370040797351,65.4,JavaScript,0.7604532313740185
kkga,spacegray,4.1588830833596715,6.059123195581797,74.2,JavaScript,0.0
rom-rb,rom,5.214935757608986,5.220355825078324,58.1,Ruby,0.0173704673286004
derekparker,delve,6.20455776256869,6.839476438228843,57.5,Go,0.183784577103166
alphamu,AnimatedEditText,3.713572066704308,5.736572297479192,41.2,Java,0.0
jasny,bootstrap,4.859812404361672,5.455321115357702,68.9,CSS,0.7458563524533237
nghialv,MaterialKit,3.9318256327243257,5.739792912179234,86.7,Swift,0.0357608210049489
SkillCollege,SimplifyReader,6.658011045870748,6.715383386334681,75.6,Java,0.0566016205501294
zircote,swagger-php,4.7535901911063645,5.3230099791384085,47.5,PHP,0.0
jashkenas,underscore,3.871201010907891,7.498315870766981,43.4,JavaScript,0.6415426726088124
Polymer,polymer,5.529429087511423,7.468513271496337,66.8,HTML,0.6666944330702241
creationix,nvm,5.2574953720277815,8.108021221376747,52.1,Shell,0.1515519794888955
rangle,augury,5.442417710521793,5.236441962829949,85.8,TypeScript,0.770830739378394
afollestad,material-camera,4.2626798770413155,6.059123195581797,53.7,Java,0.0
Haacked,Scientist.net,3.713572066704308,5.75890177387728,49.4,C#,0.2099112923326162
RobertGummesson,BuildTimeAnalyzer-for-Xcode,3.295836866004329,6.220590170099739,40.5,Swift,0.3641026972674102
a5hik,ng-sortable,4.127134385045092,5.181783550292085,30.2,JavaScript,0.1513754714460872
rancher,rancher,3.9318256327243257,7.1252830915107115,47.8,Go,0.5727319371713256
thewei,react-native-store,3.044522437723423,5.220355825078324,50.1,JavaScript,0.0
streamproc,MediaStreamRecorder,3.9512437185814275,5.181783550292085,59.5,JavaScript,0.0527783603720965
MxABC,LBXScan,6.961296045910167,5.991464547107982,55.9,Objective-C,0.0327818637087536
chrisbanes,Android-PullToRefresh,4.859812404361672,6.931471805599453,48.6,Java,0.0
kbastani,spring-cloud-microservice-example,4.51085950651685,5.762051382780177,46.0,Java,0.1513122741680854
apache,thrift,7.655390644826152,6.150602768446279,80.0,C++,2.6442483488387665
MongoEngine,mongoengine,4.700480365792417,5.117993812416755,65.2,Python,0.0
mmozuras,pronto,4.700480365792417,5.241747015059643,87.2,Ruby,0.0
visionmedia,superagent,4.394449154672439,7.451241684987676,55.4,JavaScript,0.3787245880365234
Raizlabs,RZTransitions,4.532599493153256,5.298317366548036,66.3,Objective-C,0.4359913802312416
aFarkas,lazysizes,4.5217885770490405,6.665683717782408,46.9,JavaScript,0.8164468308755825
yiisoft,yii2-app-advanced,5.5254529391317835,5.0689042022202315,55.8,PHP,0.3828992127688837
robbiehanson,CocoaHTTPServer,5.476463551931511,6.049733455231958,66.5,Objective-C,0.0
twitter-fabric,velocity-react,3.367295829986474,6.135564891081739,33.1,JavaScript,0.0
epoberezkin,ajv,5.111987788356544,5.683579767338681,66.4,JavaScript,0.0629413600011717
traildb,traildb,4.736198448394496,6.3080984415095305,84.6,C,0.2463602497616521
AngularClass,NG6-starter,3.9889840465642745,6.3473892096560105,30.8,JavaScript,0.449177420188755
biokoda,actordb,3.6109179126442243,6.063785208687608,53.9,Erlang,0.7196843709540665
jlord,git-it-electron,8.572817095164234,5.84354441703136,100.0,Perl,1.4839908114341664
adad184,MMPulseView,3.044522437723423,5.10594547390058,45.8,Objective-C,0.1530692478813882
astaxie,bat,2.70805020110221,5.225746673713202,54.4,Go,0.0178992383835751
CreateJS,SoundJS,5.459585514144159,5.41610040220442,65.5,JavaScript,0.5673990861495704
argon,node-apn,4.219507705176107,5.869296913133774,58.6,JavaScript,0.0
stitchfix,pyxley,5.2574953720277815,6.182084906716632,58.0,JavaScript,0.0885785971324778
kemayo,sublime-text-git,3.4657359027997265,5.147494476813453,53.7,Python,0.0
airbnb,enzyme,5.1298987149230735,8.051659556841953,59.9,JavaScript,0.0021355885325303
Varying-Vagrant-Vagrants,VVV,3.970291913552122,6.411818267709897,43.0,Shell,0.2569446413110573
carlbutron,Swift,7.107425474110705,6.489204931325317,78.7,Swift,0.0835633389669948
yavski,fab-speed-dial,4.418840607796598,5.3612921657094255,65.1,Java,0.0
web-perf,react-worker-dom,3.6109179126442243,5.170483995038151,50.4,JavaScript,0.2507698488410574
trulia,hologram,4.382026634673881,5.605802066295998,59.3,Ruby,0.1032781950140431
tylingsoft,markdown-plus,4.6443908991413725,5.575949103146316,53.6,JavaScript,0.3129034660155197
kadirahq,react-komposer,3.6888794541139363,5.855071922202427,44.2,JavaScript,0.3088052684831684
taptapship,wiredep,5.25227342804663,5.159055299214529,42.0,JavaScript,0.8200534304888256
arsduo,koala,4.127134385045092,5.117993812416755,68.7,Ruby,0.0
moment,moment,6.234410725718371,7.861341795599989,69.6,JavaScript,0.0202103897080095
Ramotion,expanding-collection,4.700480365792417,7.113142108707088,68.3,Swift,0.1053979822221377
WellCommerce,WellCommerce,8.275885669474356,5.645446897643238,88.2,JavaScript,0.9349437892516134
skyfishjy,android-ripple-background,3.5263605246161616,5.327876168789581,38.6,Java,0.4510826442287708
openalpr,openalpr,6.095824562432225,6.1224928095143865,75.1,C++,0.7741247548650425
TransitApp,SVWebViewController,3.8501476017100584,5.332718793265369,34.6,Objective-C,0.1259801465258414
brendangregg,perf-tools,4.382026634673881,5.840641657373398,62.3,Shell,0.4113392331925671
ericclemmons,npm-install-webpack-plugin,4.007333185232471,6.740519359606223,26.1,JavaScript,0.0561961681964124
commitizen,cz-cli,4.0943445622221,6.056784013228625,43.2,JavaScript,0.1102067487681242
brianwernick,ExoMedia,4.736198448394496,6.180016653652572,55.9,Kotlin,0.0
bmelnychuk,AndroidTreeView,4.174387269895637,5.5093883366279774,51.7,Java,0.0
mesos,chronos,6.061456918928017,5.707110264748875,71.7,Scala,0.6061812301417941
littleark,githut,3.9889840465642745,5.123963979403259,56.6,HTML,0.9974613758569636
milessabin,shapeless,5.313205979041787,5.579729825986222,66.4,Scala,0.0027419892189699
JorgeCastilloPrz,AndroidFillableLoaders,4.465908118654584,5.214935757608986,78.7,Java,0.0
kpdecker,six-speed,4.624972813284271,5.0689042022202315,49.0,JavaScript,0.4872541175951286
kakajika,SwipeAwayDialog,3.828641396489095,6.335054251498059,42.9,Java,0.0
JakeWharton,butterknife,5.117993812416755,8.01532730902172,67.0,Java,0.2878153673503527
renzifeng,ZFZhiHuDaily,5.53338948872752,5.198497031265826,54.8,Objective-C,0.693810115521583
checkstyle,checkstyle,7.489970898834801,5.811140992976701,82.5,Java,0.1139934942507794
JohnCoates,Aerial,3.8501476017100584,7.049254841255837,22.8,Swift,0.0199333621304576
lmgonzalves,segment,3.044522437723423,5.958424693029782,38.3,CSS,1.0683637905478274
goadesign,goa,5.231108616854587,5.717027701406222,68.4,Go,0.0134381155145689
Codeception,CodeceptJS,5.318119993844216,5.204006687076795,55.1,JavaScript,0.2643818483437423
